matchId,blueWins,blueWardsPlaced,blueControlWardsPlaced,blueWardsDestroyed,blueControlWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueVoidGrubs,blueTowersDestroyed,bluePlatesDestroyed,blueTotalGold,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueFirstTurret,blueInhibitorsDestroyed,blueFirstDragon,redWardsPlaced,redControlWardsPlaced,redWardsDestroyed,redControlWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redVoidGrubs,redTowersDestroyed,redPlatesDestroyed,redTotalGold,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redFirstTurret,redInhibitorsDestroyed,redFirstDragon,gameDuration
KR_7070705393,0,30,7,8,2,0,10,12,9,0,0,3,1,8,26124,30662,355,74,1,0,0,31,5,5,4,1,12,10,7,2,0,0,0,4,26504,33022,380,92,0,0,1,1770.63
KR_7082363806,1,26,5,17,4,0,10,12,17,1,0,4,1,10,27215,31374,384,93,1,0,1,38,7,9,4,1,12,10,15,0,0,2,0,4,27838,30230,362,94,0,0,0,1877.251
KR_7081063102,1,40,8,13,5,0,9,9,14,0,0,3,0,5,27429,31849,430,90,0,0,0,34,9,19,7,1,9,9,7,1,0,3,0,7,27445,32233,424,98,0,0,1,2112.386
KR_7083309336,0,53,10,16,6,0,9,14,12,0,0,4,0,7,25976,29408,390,96,0,0,0,43,9,18,7,1,14,9,24,2,0,2,1,4,30209,32114,410,80,1,0,1,1896.518
KR_7087549473,1,40,9,13,5,0,15,10,21,0,0,3,1,10,31058,33437,408,110,1,0,0,29,6,12,4,1,10,15,13,1,0,3,0,6,27065,29863,388,82,0,0,1,1109.803
KR_7065158357,1,62,9,8,1,1,20,11,15,2,1,5,3,10,32339,29991,382,66,1,0,1,26,1,8,4,0,11,20,16,0,0,1,0,3,27010,28691,328,98,0,0,0,1921.333
KR_7083951378,0,48,7,5,3,0,15,20,23,0,0,6,1,9,28046,29347,322,95,1,0,0,26,8,11,4,1,20,15,21,1,0,0,1,7,31542,30640,349,76,0,0,1,2238.771
KR_7078753101,0,212,10,20,10,0,18,15,27,0,0,3,1,10,29823,30986,349,71,0,0,0,43,12,8,4,1,15,18,20,1,0,3,2,4,31670,30592,428,66,1,0,1,1738.599
KR_7098104013,1,32,10,14,6,1,13,1,18,0,1,5,1,9,28590,30255,382,67,1,0,0,34,8,11,6,0,1,13,2,2,0,1,0,4,22614,28194,390,92,0,0,1,1985.543
KR_7100848666,0,150,6,10,5,1,10,17,9,1,0,6,0,1,25875,30191,327,129,0,0,0,31,6,10,6,0,17,10,21,1,0,0,0,4,29216,32406,381,74,0,0,1,1854.277
KR_7103409587,1,49,8,8,4,1,15,1,15,0,0,0,1,13,29809,33494,400,92,1,0,0,28,5,8,3,0,1,15,0,2,0,6,0,3,22283,28384,380,100,0,0,1,1234.638
KR_7100676026,0,30,3,10,4,0,12,12,17,1,1,3,1,11,29069,30048,398,76,1,0,0,38,10,13,2,1,12,12,17,1,0,3,0,1,29743,31252,350,115,0,0,1,1582.108
KR_7101876023,1,25,4,7,4,1,17,6,20,1,0,6,4,15,33656,33691,398,114,1,0,1,25,6,8,2,0,6,17,11,0,0,0,0,1,23761,28574,363,80,0,0,0,971.988
KR_7102209513,1,107,11,7,3,0,12,10,13,1,0,6,0,13,26858,31136,345,92,0,0,0,21,3,14,6,1,10,12,10,1,0,0,0,0,24886,29342,341,76,0,0,1,1264.93
KR_6914484687,0,106,4,11,3,0,12,21,15,0,0,3,1,8,28830,28726,329,86,1,0,0,168,3,12,3,1,21,12,22,2,0,3,0,2,30566,31918,350,90,0,0,1,2105.028
KR_7092578955,1,33,8,8,3,0,14,14,18,1,0,0,1,6,28331,28847,339,84,1,0,1,27,4,12,6,1,14,14,11,0,0,6,2,5,29236,30183,371,79,0,0,0,1990.259
KR_7104313765,0,33,6,5,0,0,13,15,16,0,0,6,0,7,27038,30939,349,104,0,0,0,30,3,8,3,1,15,13,11,2,0,0,1,4,30017,32528,398,112,1,0,1,1005.122
KR_7080275712,1,33,7,11,5,0,9,7,9,1,1,2,0,7,26810,32101,418,102,0,0,0,28,10,13,5,1,7,9,12,1,0,1,0,3,27574,31681,447,92,0,0,1,2215.588
KR_7070881484,1,46,7,9,2,1,6,6,8,0,1,6,0,6,24879,30294,401,98,0,0,0,29,2,5,2,0,6,6,5,1,0,0,0,3,25052,32178,412,109,0,0,1,1797.9
KR_7106401685,0,28,3,9,5,1,8,9,7,0,0,6,1,8,26558,29952,374,100,1,0,0,25,6,9,2,0,9,8,10,2,0,0,1,3,26821,30641,409,95,0,0,1,1221.629
KR_7082259143,0,36,8,9,3,1,9,14,9,0,0,6,3,12,27628,27937,356,94,1,0,0,48,5,11,5,0,14,9,12,2,0,0,0,5,28903,30519,371,88,0,0,1,1763.967
KR_7072212762,0,36,7,14,6,0,7,14,7,0,0,4,0,6,26400,31715,383,107,0,0,0,44,10,16,7,1,14,7,18,1,1,2,1,6,30918,32820,392,104,1,0,1,1326.98
KR_7100360242,0,32,7,8,4,0,10,25,12,1,0,6,0,8,26876,27744,362,82,0,0,1,34,8,9,5,1,25,10,30,1,0,0,0,5,31805,30693,328,76,0,0,0,1958.637
KR_7089559710,1,31,4,7,3,0,10,12,5,0,0,3,1,10,26093,30174,373,79,1,0,0,31,5,7,3,1,12,10,12,2,0,0,0,3,26978,29628,342,64,0,0,1,1777.017
KR_7083463819,0,35,7,7,4,0,8,13,7,1,0,0,0,7,25197,28614,370,90,0,0,1,78,12,10,7,1,13,8,17,1,1,6,3,9,32015,32220,425,107,1,0,0,1749.227
KR_7102570738,1,30,3,9,6,0,11,15,11,0,0,3,2,6,29438,31525,385,109,1,0,0,33,8,4,1,1,15,11,16,2,0,3,0,6,27632,29353,324,86,0,0,1,1397.331
KR_7098847102,1,94,10,8,3,0,12,9,15,1,0,2,1,5,26848,29894,335,78,0,0,0,29,8,15,9,1,9,12,13,1,0,4,1,5,27220,29179,364,92,1,0,1,1633.381
KR_7095718131,0,33,7,8,5,1,14,10,12,1,0,3,1,9,28226,30015,345,104,0,0,0,38,8,6,2,0,10,14,12,1,0,0,1,6,27247,29465,372,79,1,0,1,1655.204
KR_7074983966,1,43,12,31,1,1,17,6,17,2,1,3,2,15,31575,33452,407,90,1,0,1,64,2,10,4,0,6,17,4,0,0,3,0,4,24843,29722,373,110,0,0,0,1225.154
KR_7080751709,1,57,9,11,3,1,5,10,7,1,0,0,0,7,25256,30738,435,83,0,0,0,27,4,6,4,0,10,5,11,1,0,6,2,4,27781,31139,394,94,1,0,1,1553.259
KR_7087054909,0,30,4,7,3,0,21,11,22,1,0,4,1,9,30707,31803,368,88,0,0,1,29,5,5,2,1,11,21,8,0,0,2,2,5,28712,31460,355,91,1,0,0,1398.951
KR_7031272821,1,88,4,5,2,1,13,8,13,0,0,3,0,9,27345,31460,391,69,0,0,0,35,6,5,2,0,8,13,7,1,0,3,0,2,26288,30281,377,97,0,0,1,2106.894
KR_7072165710,0,26,3,8,4,0,15,23,15,0,0,6,2,13,29261,30120,336,66,1,0,0,22,9,10,1,1,23,15,27,2,0,0,1,4,32164,31510,319,111,0,0,1,1634.007
KR_7030381761,0,30,7,8,4,1,15,11,20,0,0,4,1,9,30344,32917,353,108,0,0,0,53,8,8,4,0,11,15,11,1,0,2,1,5,28047,30449,364,88,1,0,1,1682.964
KR_7090161436,1,38,9,20,5,0,12,7,16,0,0,6,2,13,31224,33468,439,103,0,0,0,45,6,14,5,1,7,12,10,2,0,0,1,2,25857,27699,384,84,1,0,1,1149.052
KR_7093444915,0,37,11,11,3,1,17,17,22,0,0,5,3,12,30957,28586,363,80,1,0,0,33,6,13,7,0,17,17,27,1,0,1,0,3,28981,30053,313,108,0,0,1,2113.106
KR_7073403290,0,361,4,12,9,0,10,9,3,1,0,3,1,6,25037,29468,347,91,0,0,1,40,12,8,4,1,9,10,18,0,0,3,1,3,26358,28683,327,75,1,0,0,1687.439
KR_7046533183,1,99,10,9,3,1,28,10,29,1,1,6,4,16,35678,32470,357,78,1,0,1,144,4,10,5,0,10,28,10,0,0,0,0,1,26060,25491,329,52,0,0,0,1161.208
KR_7081322424,1,36,4,8,6,0,12,12,20,2,0,0,1,10,29223,29753,381,86,1,0,1,37,11,4,2,1,12,12,15,0,0,6,1,5,27680,28820,357,73,0,0,0,1897.485
KR_7102208160,0,33,9,12,5,1,15,16,17,1,0,3,0,9,27396,28959,357,97,0,0,1,33,7,9,7,0,16,15,17,0,0,3,1,5,30806,32572,413,86,1,0,0,1640.752
KR_7082355830,1,38,7,10,6,0,10,8,20,0,1,3,1,8,27967,30369,386,81,1,0,0,64,9,14,4,1,8,10,9,2,0,3,0,4,26021,31712,404,111,0,0,1,2170.403
KR_7079024804,0,75,4,13,2,0,14,21,14,0,1,6,3,8,28189,28917,328,79,1,0,0,48,6,30,4,1,21,14,19,1,0,0,0,4,32942,32535,397,92,0,0,1,1289.822
KR_7104581019,1,33,10,12,3,1,19,11,23,1,0,1,4,17,35444,34177,441,102,1,0,1,40,9,8,3,0,11,19,13,0,0,2,0,2,26491,29665,367,68,0,0,0,1213.531
KR_7075136527,1,29,8,8,4,1,21,3,23,0,0,3,6,16,35504,33655,433,111,1,1,0,28,5,12,4,0,3,21,7,0,0,3,0,3,21771,24692,276,69,0,0,0,941.177
KR_7085179356,1,37,6,15,2,1,12,12,8,1,0,6,1,12,28787,30570,392,81,1,0,1,39,2,15,3,0,12,12,13,0,0,0,0,2,27591,31499,392,78,0,0,0,1506.141
KR_7100240929,1,41,7,16,6,0,19,18,20,1,1,3,2,13,32274,31273,355,92,1,0,1,39,8,10,4,1,18,19,24,0,0,3,0,6,29236,27587,302,71,0,0,0,1411.214
KR_7093945055,1,36,2,15,4,0,15,9,12,1,0,6,0,9,28437,32616,392,80,0,0,1,63,5,4,1,1,9,15,16,0,0,0,0,4,26263,28818,344,79,0,0,0,1883.737
KR_7048933569,0,40,9,14,7,1,13,12,13,0,0,5,1,6,27545,31327,343,79,1,0,0,36,10,13,5,0,12,13,23,0,0,1,0,2,27149,29689,368,70,0,0,0,1703.336
KR_7107236493,1,31,7,15,5,0,16,12,24,1,0,6,2,9,30390,30038,365,95,1,0,1,48,10,10,5,1,12,16,13,0,0,0,0,3,28719,30208,384,80,0,0,0,1910.352
KR_7080227425,1,70,8,14,5,1,25,9,39,0,0,3,1,10,33910,32343,376,77,1,0,0,32,6,12,4,0,9,25,9,1,0,3,0,3,25759,28069,331,102,0,0,1,1678.391
KR_7097128187,0,42,7,12,3,1,15,10,12,0,0,5,0,9,28960,32516,396,94,0,0,0,33,6,10,7,0,10,15,9,1,0,1,0,1,26293,30842,433,68,0,0,1,1854.982
KR_7083397052,1,35,9,9,5,1,12,15,13,0,0,0,0,12,27423,29241,326,77,0,0,0,56,8,6,4,0,15,12,17,1,0,6,2,5,29875,31510,376,92,1,0,1,1715.736
KR_7096993140,0,29,5,11,4,0,9,23,9,0,0,3,1,12,27146,27734,363,69,0,0,0,183,8,8,1,1,23,9,32,2,1,3,2,5,32922,31360,347,102,1,0,1,2036.574
KR_7105780859,0,181,7,10,4,0,11,28,12,0,0,3,0,4,26739,27406,265,87,0,0,0,30,6,13,3,1,28,11,12,1,0,0,3,7,33316,32863,381,88,1,0,1,1142.012
KR_7107426654,0,33,9,3,2,1,8,14,12,1,0,6,0,6,26191,30994,386,102,0,0,0,35,5,10,7,0,14,8,20,1,0,0,1,4,29918,33425,425,87,1,0,1,1123.117
KR_7108049967,1,30,2,9,2,0,11,10,15,0,0,1,0,9,27006,31288,380,106,0,0,0,31,4,5,1,1,10,11,12,1,0,2,2,5,29341,31803,416,87,1,0,1,1588.148
KR_7103745897,1,30,8,9,7,1,16,10,15,0,0,3,2,8,30275,30806,389,63,1,0,0,24,9,8,4,0,10,16,10,1,0,0,0,3,24788,29839,332,57,0,0,1,1540.143
KR_7095070866,1,32,8,8,4,1,16,8,18,1,1,6,3,16,32818,33377,388,116,1,0,1,28,6,10,3,0,8,16,13,0,0,0,0,1,24087,27105,303,82,0,0,0,959.943
KR_7058685953,0,26,4,21,2,1,8,13,8,0,0,0,0,9,25398,27780,363,68,0,0,0,293,6,8,3,0,13,8,15,2,0,6,1,3,28733,29742,382,96,1,0,1,1532.957
KR_7106803848,0,37,9,11,4,0,6,10,7,1,0,0,0,6,24844,30167,399,98,0,0,1,33,6,15,7,1,10,6,13,1,0,6,0,5,28536,32218,428,105,0,0,0,1338.008
KR_7096796702,1,70,7,13,2,1,8,9,8,2,0,4,0,6,26044,30260,378,112,0,0,1,39,6,8,4,0,9,8,9,0,0,2,1,5,27363,31831,434,72,1,0,0,2568.064
KR_7103807169,0,28,8,14,5,0,24,14,25,1,0,6,1,9,33274,31709,368,97,1,0,1,53,5,12,5,1,14,24,22,0,0,0,0,1,29333,30546,348,76,0,0,0,2073.368
KR_7091404286,0,41,7,16,6,0,11,20,20,0,0,0,1,10,27365,28168,362,82,1,0,0,47,10,19,6,1,20,11,18,1,0,6,0,6,31718,33558,404,73,0,0,1,1313.349
KR_7096321063,1,64,9,8,3,0,6,7,6,1,0,4,4,13,28922,32615,403,121,1,0,1,64,6,9,6,1,7,6,16,1,0,2,0,0,24279,30533,367,77,0,0,0,2228.855
KR_7085879412,0,43,2,5,1,0,16,27,18,0,0,3,0,4,28737,29342,335,86,0,0,0,34,7,9,2,1,27,16,32,2,0,3,2,9,37596,34374,374,93,1,0,1,1547.773
KR_7096666786,0,29,4,2,0,0,15,23,16,0,0,0,1,8,25583,26946,294,68,0,0,0,28,4,8,3,1,23,15,23,2,0,6,1,7,32803,30800,355,95,1,0,1,931.347
KR_7101628527,1,29,5,11,4,1,13,10,14,0,0,1,1,12,29944,31520,394,93,1,0,0,33,7,9,4,0,10,13,12,2,0,5,0,1,27344,30140,385,87,0,0,1,1182.02
KR_7091868142,0,32,6,10,4,0,14,15,16,0,0,3,0,5,27699,28305,371,77,0,0,0,28,5,8,4,1,15,14,15,0,1,0,1,6,28763,31379,379,80,1,0,0,2031.489
KR_7102310885,0,34,7,16,5,1,8,12,3,0,0,3,1,5,24815,30564,376,83,0,0,0,50,9,15,4,0,12,8,16,1,1,3,1,7,28510,32897,419,83,1,0,1,1173.925
KR_7081701576,0,34,5,8,2,0,7,15,9,0,0,3,1,10,27375,29289,358,92,1,0,0,34,5,9,2,1,15,7,13,1,0,3,0,5,28050,30802,339,94,0,0,1,1414.018
KR_7099203761,1,61,4,11,4,0,4,4,4,0,1,6,0,7,26133,32309,436,110,0,0,0,36,9,9,3,1,4,4,6,2,0,0,0,1,23333,29096,387,89,0,0,1,2288.684
KR_7105897221,1,31,6,5,2,1,23,9,33,0,1,5,3,14,34977,33166,328,104,1,0,0,31,8,9,4,0,9,23,5,1,0,1,0,4,25574,27738,364,78,0,0,1,1120.69
KR_7106194959,0,32,12,10,3,0,11,14,18,0,0,4,2,8,27837,28784,367,78,1,0,0,33,8,12,5,1,14,11,18,1,0,2,1,4,28498,28949,364,91,0,0,1,1832.025
KR_7091116358,0,97,9,7,3,1,19,12,24,0,0,2,1,12,30959,32441,366,84,1,0,0,60,9,12,5,0,12,19,11,1,0,4,0,2,29113,32383,396,84,0,0,1,1731.11
KR_7106253884,1,66,7,14,5,0,15,13,16,1,1,4,2,10,30645,29576,383,80,1,0,1,36,6,11,4,1,13,15,18,0,0,2,0,1,26710,27742,285,95,0,0,0,1842.209
KR_7093301068,1,36,7,13,7,1,12,4,21,1,1,5,1,12,29358,31576,386,110,1,0,0,33,9,9,3,0,4,12,3,1,0,1,0,1,23169,28551,387,82,0,0,1,1540.132
KR_7035090341,0,96,5,10,1,0,10,18,9,0,0,3,0,5,24353,28172,316,81,0,0,0,28,3,14,4,1,18,10,21,2,0,3,2,7,32398,32541,411,114,1,0,1,959.719
KR_7077826658,1,37,13,10,4,1,11,7,13,2,1,5,2,12,29678,33093,407,112,1,0,1,38,6,10,6,0,7,11,7,0,0,1,0,2,25333,30463,397,91,0,0,0,1042.627
KR_7106193610,1,32,7,11,5,0,12,11,11,0,0,3,0,9,28263,31737,374,88,0,0,0,33,8,5,3,1,11,12,11,1,0,3,0,2,26404,29574,374,94,0,0,1,1472.247
KR_7109078151,1,27,5,4,3,1,14,10,14,0,0,5,4,12,30311,33242,434,96,1,0,0,31,3,6,3,0,10,14,10,2,0,1,0,5,26281,29364,355,96,0,0,1,942.108
KR_7099268562,1,35,9,8,4,1,12,7,15,2,0,3,0,9,28219,33913,418,126,0,0,1,28,8,4,0,0,7,12,7,0,0,0,0,0,23573,29197,346,92,0,0,0,952.09
KR_7086761306,1,34,3,5,2,0,12,16,14,0,0,5,1,8,28037,29899,340,84,1,0,0,42,6,8,0,1,16,12,17,2,0,1,0,6,29025,30065,349,100,0,0,1,1387.793
KR_7100846537,1,38,5,13,4,0,21,8,27,2,0,3,0,10,29882,33114,360,107,0,0,1,37,6,9,3,1,8,21,4,0,0,3,0,1,24706,29639,355,77,0,0,0,1484.546
KR_7097655769,0,99,3,6,2,1,14,19,16,0,0,1,0,4,26717,28087,291,84,0,0,0,68,3,5,1,0,19,14,20,2,0,5,1,6,32056,33306,398,98,1,0,1,1163.301
KR_7104889213,1,52,6,6,4,1,10,8,7,0,0,6,2,11,30489,31095,427,78,1,0,0,26,7,7,3,0,8,10,13,1,0,0,0,1,25022,29730,371,86,0,0,1,1436.23
KR_7079719758,0,27,4,10,6,1,15,14,19,1,0,1,0,8,28427,31256,377,62,0,0,1,61,8,8,2,0,14,15,16,0,0,2,0,4,29466,33771,398,84,0,0,0,1614.949
KR_7104527881,0,40,12,8,4,1,12,17,10,0,0,3,0,10,27541,31335,384,95,0,0,0,27,6,14,7,0,17,12,13,1,0,0,0,3,28577,32726,403,63,0,0,1,1972.087
KR_7108372925,0,29,4,5,2,1,14,19,18,1,0,4,1,11,29945,31542,363,98,1,0,1,27,3,9,3,0,19,14,23,1,0,2,2,6,30633,30394,347,76,0,0,0,1551.484
